Category,Item,Station,Value,ValueType
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,631,6.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,650,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,689,1.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,528,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,528A6,0.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,528A7,2.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,528A8,3.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,526,5.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,561,4.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,620,5.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,630,5.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,632,4.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,540,2.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,542,10.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,595,3.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,642,4.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,646,5.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,693,2.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,512,3.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,613,5.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,688,2.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,558,2.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,565,2.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,590,5.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,637,5.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,652,2.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,658,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,659,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,508,2.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,509,3.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,534,2.00%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,544,1.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,619,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,679,12.50%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,516,3.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,546,3.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,548,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,573,2.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,672,3.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,673,3.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,596A4,3.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,603,3.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,614,4.30%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,621,3.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,626,4.40%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,538,8.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,539,4.80%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,541,1.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,552,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,506,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,515,4.90%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,550,3.10%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,553,5.20%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,583,2.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,610,3.60%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,537,4.70%,Percent
MH Service Utilization With a Possible or Confirmed Mental Illness,Proportion of Veterans with Possible Mental Illness Seen in Inpatient Mental Health,556,4.50%,Percent
